"Fecha","contactos_mensajes","seguidores","alcance","clic_en_enlace","interacciones","visitas"
"6/06/2024",1,2,33,0,0,8
"7/06/2024",2,3,379,0,1,14
"8/06/2024",1,0,233,0,1,6
"9/06/2024",0,1,184,0,0,6
"10/06/2024",4,2,243,0,9,12
"11/06/2024",0,0,75,0,5,13
"12/06/2024",1,4,67,0,6,19
"13/06/2024",0,0,70,0,0,8
"14/06/2024",2,1,697,0,64,8
"15/06/2024",0,1,561,0,19,5
"16/06/2024",1,0,244,0,4,10
"17/06/2024",3,2,380,0,6,12
"18/06/2024",4,3,174,0,0,7
"19/06/2024",2,0,94,0,7,3
"20/06/2024",4,4,340,0,5,14
"21/06/2024",0,1,155,0,0,7
"22/06/2024",2,3,76,0,3,5
"23/06/2024",0,0,69,0,0,4
"24/06/2024",0,1,61,0,0,5
"25/06/2024",4,1,627,0,66,17
"26/06/2024",3,3,543,0,41,25
"27/06/2024",1,1,156,0,6,10
"28/06/2024",5,1,369,0,43,17
"29/06/2024",7,1,303,0,19,7
"30/06/2024",2,1,159,0,1,5
"1/07/2024",0,1,34,0,0,2
"2/07/2024",1,1,44,0,0,2
"3/07/2024",1,0,62,0,2,7
"4/07/2024",5,1,208,0,15,9
"5/07/2024",5,0,286,0,13,22
"6/07/2024",2,1,113,0,2,9
"7/07/2024",2,2,83,0,3,3
"8/07/2024",2,0,301,0,21,13
"9/07/2024",2,2,283,0,4,4
"10/07/2024",5,2,267,0,5,16
"11/07/2024",1,0,136,0,2,7
"12/07/2024",4,6,92,0,6,17
"13/07/2024",1,0,106,0,2,3
"14/07/2024",1,2,507,0,18,4
"15/07/2024",3,2,343,0,16,13
"16/07/2024",0,0,48,0,0,4
"17/07/2024",4,2,521,0,100,28
"18/07/2024",3,2,418,0,17,12
"19/07/2024",2,1,118,0,7,7
"20/07/2024",1,1,104,0,7,9
"21/07/2024",0,0,169,0,27,6
"22/07/2024",9,24,1360,0,23,84
"23/07/2024",6,8,425,0,12,36
"24/07/2024",4,4,600,0,17,27
"25/07/2024",3,5,393,0,5,38
"26/07/2024",2,2,95,0,3,4
"27/07/2024",0,0,24,0,0,7
"28/07/2024",0,1,854,0,51,15
"29/07/2024",1,0,104,0,3,6
"30/07/2024",0,3,40,0,2,3
"31/07/2024",0,0,12,0,3,3
"1/08/2024",1,2,20,0,0,8
"2/08/2024",1,0,59,0,3,6
"3/08/2024",0,0,41,0,4,7
"4/08/2024",1,1,237,0,2,4
"5/08/2024",3,1,601,0,23,24
"6/08/2024",5,3,488,0,15,16
"7/08/2024",1,0,116,0,3,5
"8/08/2024",0,1,65,0,7,5
"9/08/2024",1,1,20,0,0,2
"10/08/2024",1,2,56,0,5,4
"11/08/2024",3,1,60,0,3,12
"12/08/2024",0,0,46,0,1,4
"13/08/2024",2,2,284,0,2,9
"14/08/2024",1,0,259,0,25,22
"15/08/2024",2,4,579,0,82,22
"16/08/2024",2,2,551,0,9,28
"17/08/2024",1,2,67,0,3,10
"18/08/2024",0,1,23,0,0,2
"19/08/2024",3,2,65,0,6,4
"20/08/2024",2,2,163,0,3,15
"21/08/2024",1,2,97,0,3,9
